Date,Narration,Withdrawal,Deposit,Balance
01/09/2026,FUNDS TRANSFER FROM BANK ACCOUNT,,100000.00,115000.00
02/09/2026,BUY NSE RELIANCE EQUITY - ZERODHA,35000.00,,80000.00
04/09/2026,BUY NSE ICICIBANK EQUITY - ZERODHA,22500.00,,57500.00
05/09/2026,SELL NSE HDFCBANK EQUITY - ZERODHA,,12000.00,69500.00
07/09/2026,BUY NIFTYBEES ETF - ZERODHA,15000.00,,54500.00
08/09/2026,SEBI TURNOVER CHARGES,12.15,,54487.85
09/09/2026,GST ON BROKERAGE,10.80,,54477.05
10/09/2026,DIVIDEND CREDIT - RELIANCE,,420.00,54897.05
15/09/2026,BUY NSE INFY EQUITY - ZERODHA,18200.00,,36697.05
18/09/2026,SELL NSE TCS EQUITY - ZERODHA,,9600.00,46297.05
30/09/2026,CASH BALANCE INTEREST,,35.50,46332.55
