Date,Narration,Withdrawal,Deposit,Balance
01/09/2026,SALARY CREDIT - ACME TECHNOLOGIES,,150000.00,247500.00
02/09/2026,NEFT RENT - GREENVIEW RESIDENCY,35000.00,,212500.00
03/09/2026,SIP - INDEX MUTUAL FUND,25000.00,,187500.00
04/09/2026,ELECTRICITY BILL - BESCOM,4500.00,,183000.00
05/09/2026,UPI GROCERY - DMART,8780.50,,174219.50
06/09/2026,UPI SWIGGY FOOD ORDER,1260.00,,172959.50
07/09/2026,CAFE DINING - THIRD WAVE,890.25,,172069.25
08/09/2026,UBER TRIP,685.00,,171384.25
09/09/2026,NETFLIX SUBSCRIPTION,649.00,,170735.25
10/09/2026,APOLLO PHARMACY,1240.00,,169495.25
11/09/2026,AMAZON SHOPPING,2150.00,,167345.25
12/09/2026,PETROL FUEL STATION,3000.00,,164345.25
15/09/2026,PERFORMANCE BONUS - ACME TECHNOLOGIES,,5000.00,169345.25
18/09/2026,UPI TRANSFER TO OWN SAVINGS,4000.00,,165345.25
20/09/2026,NACH HOME LOAN EMI,39052.00,,126293.25
23/09/2026,JIO POSTPAID BILL,799.00,,125494.25
25/09/2026,CREDIT CARD BILL PAYMENT,1450.00,,124044.25
30/09/2026,SAVINGS ACCOUNT INTEREST,,55.25,124099.50
